q_num,model,question,curie,prefix,status,claimed_label,real_label,answer_excerpt
1,openai/gpt-oss-120b,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",GO:0008380,GO,SUPPORTED_NO_LABEL,,,"**FUS (Fused in Sarcoma) – Representative GO Biological Process annotations**  | # | GO Biological Process term | GO ID | |---|----------------------------|-------| | 1 | RNA splicing | **GO:0008380** | | 2 | mRNA processing | **GO:0006397** | | 3 | Regulation of transcription, DNA‑templated | **GO:"
1,openai/gpt-oss-120b,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",GO:0006397,GO,SUPPORTED_NO_LABEL,,,"**FUS (Fused in Sarcoma) – Representative GO Biological Process annotations**  | # | GO Biological Process term | GO ID | |---|----------------------------|-------| | 1 | RNA splicing | **GO:0008380** | | 2 | mRNA processing | **GO:0006397** | | 3 | Regulation of transcription, DNA‑templated | **GO:"
1,openai/gpt-oss-120b,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",GO:0006355,GO,SUPPORTED_NO_LABEL,,,"**FUS (Fused in Sarcoma) – Representative GO Biological Process annotations**  | # | GO Biological Process term | GO ID | |---|----------------------------|-------| | 1 | RNA splicing | **GO:0008380** | | 2 | mRNA processing | **GO:0006397** | | 3 | Regulation of transcription, DNA‑templated | **GO:"
1,openai/gpt-oss-120b,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",GO:0006281,GO,SUPPORTED_NO_LABEL,,,"**FUS (Fused in Sarcoma) – Representative GO Biological Process annotations**  | # | GO Biological Process term | GO ID | |---|----------------------------|-------| | 1 | RNA splicing | **GO:0008380** | | 2 | mRNA processing | **GO:0006397** | | 3 | Regulation of transcription, DNA‑templated | **GO:"
1,openai/gpt-oss-120b,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",GO:0010468,GO,SUPPORTED_NO_LABEL,,,"**FUS (Fused in Sarcoma) – Representative GO Biological Process annotations**  | # | GO Biological Process term | GO ID | |---|----------------------------|-------| | 1 | RNA splicing | **GO:0008380** | | 2 | mRNA processing | **GO:0006397** | | 3 | Regulation of transcription, DNA‑templated | **GO:"
1,openai/gpt-oss-120b,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",GO:0006974,GO,SUPPORTED_NO_LABEL,,,"**FUS (Fused in Sarcoma) – Representative GO Biological Process annotations**  | # | GO Biological Process term | GO ID | |---|----------------------------|-------| | 1 | RNA splicing | **GO:0008380** | | 2 | mRNA processing | **GO:0006397** | | 3 | Regulation of transcription, DNA‑templated | **GO:"
1,openai/gpt-oss-120b,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",GO:0043488,GO,SUPPORTED_NO_LABEL,,,"**FUS (Fused in Sarcoma) – Representative GO Biological Process annotations**  | # | GO Biological Process term | GO ID | |---|----------------------------|-------| | 1 | RNA splicing | **GO:0008380** | | 2 | mRNA processing | **GO:0006397** | | 3 | Regulation of transcription, DNA‑templated | **GO:"
1,openai/gpt-oss-120b,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",GO:0045944,GO,SUPPORTED_NO_LABEL,,,"**FUS (Fused in Sarcoma) – Representative GO Biological Process annotations**  | # | GO Biological Process term | GO ID | |---|----------------------------|-------| | 1 | RNA splicing | **GO:0008380** | | 2 | mRNA processing | **GO:0006397** | | 3 | Regulation of transcription, DNA‑templated | **GO:"
1,openai/gpt-oss-120b,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",ENSG00000115414,ENSG,SUPPORTED_ENTITY_MISMATCH,,FN1,"**FUS (Fused in Sarcoma) – Representative GO Biological Process annotations**  | # | GO Biological Process term | GO ID | |---|----------------------------|-------| | 1 | RNA splicing | **GO:0008380** | | 2 | mRNA processing | **GO:0006397** | | 3 | Regulation of transcription, DNA‑templated | **GO:"
1,openai/gpt-oss-120b,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",P35637,UNIPROT,SUPPORTED_ENTITY_OK,,RNA-binding protein FUS,"**FUS (Fused in Sarcoma) – Representative GO Biological Process annotations**  | # | GO Biological Process term | GO ID | |---|----------------------------|-------| | 1 | RNA splicing | **GO:0008380** | | 2 | mRNA processing | **GO:0006397** | | 3 | Regulation of transcription, DNA‑templated | **GO:"
